Konu,Soru,Cevap
Check-in,Check-in yaptıktan sonra koltuk numaramı değiştirebilir miyim?,Check-in işleminizin ardından biniş kartınız henüz basılmadıysa koltuk numaranızı değiştirebilirsiniz. 
Check-in,Diğer havayolu firmalarına bağlantılı uçuşlarım için online check-in yapabilir miyim?,"Seyahatiniz Türk Hava Yolları ile başlayıp anlaşmalı havayolu firmalarıyla devam ediyorsa ve bağlantılı uçuş ilgili havayolunda check-in işlemine açıksa, gideceğiniz son noktaya kadar online check-in yapabilirsiniz."
Check-in,Grup biletler için online check-in yapabilir miyim?,Seyahat acentesinden satın aldığınız grup biletleriniz için gruptaki yolcuların soyadlarını bilet numaraları ile beraber tek tek yazarak bir işlemde en fazla 9 yolcu olmak üzere check-in işlemini gerçekleştirebilirsiniz.
Check-in,Online check-in veya kiosk check-in işlemi esnasında acil çıkış koltuklarını seçebilir miyim?,"Acil çıkış koltukları, check-in öncesinde veya check-in esnasında satın alınarak seçilebilmektedir. Satın alınmış acil çıkış koltukların check-in işlemi, online olarak ve kiosk aracılığıyla yapılabilmektedir. Kiosk üzerinden acil çıkış koltuğu satın alım işlemi yapılamamaktadır."
Check-in,Çocuğumun bileti için online check-in yapabilir miyim?,Aynı rezervasyon kaydında (PNR) olan tüm yolcular için online check-in yapabilirsiniz.
Check-in,Havalimanına gelirken e-biletimin çıktısını yanıma almam gerekir mi?,"Hayır, e-biletinizin çıktısını yanınızda taşımak zorunda değilsiniz. Bilet numarası, rezervasyon kodu (PNR) ve kimliğinizle kontuarda işlem yapabilirsiniz."
Check-in,Online check-in işlemimi nasıl iptal edebilirim?,Çağrı merkezimizi arayarak online check-in işleminizi iptal edebilirsiniz.
Check-in,Kontuarda check-in işlemini nasıl yapabilirim?,Check-in kontuarında bilet ve kimlik kontrolü işlemlerinizi tamamladıktan sonra varsa bagajınız teslim alınır ve biniş kartınız verilir. Bu işlemlerden sonra havalimanında bulunan bilgi ekranlarını takip ederek uçuş kapınızı kontrol edebilir ve biniş kartınızla uçağa geçebilirsiniz.
Check-in,Kiosk check-in işlemini nasıl gerçekleştirebilirim?,"Öncelikle check-in yapabileceğiniz kioskların kolayca kullanılabilecek şekilde tasarlandığını ve dokunmatik ekranlarıyla oldukça basit bir menüye sahip olduğunu belirtelim. Check-in işlemlerine başlamak için Miles&Smiles veya herhangi bir banka kartını kart okutucuya yerleştirebilir ya da tercihe göre e-bilet numarası veya rezervasyon kodunu (PNR) girebilirsiniz. Check-in işlemleri, koltuk seçiminin ardından biniş kartınızın üretilmesiyle sona erer. Check-in sırasında kart okuyucuya yerleştirdiğiniz kartınız sadece kimlik bilgilerinize ulaşmak amacıyla kullanılır. Detaylı bilgi için check-in sayfamızı ziyaret edebilirsiniz."
Check-in,Check-in işlemi için ne kadar süre önce havalimanında olmalıyım?,"Havalimanlarında alınan ek önlemler sebebiyle oluşabilecek zaman kayıplarına karşı, yolcularımızın uçuşlarından en az 3 saat önce terminale gelmeleri önerilmektedir."
